Employee ID,First Name,Last Name,Age,Gender,DOB,Date Joined,Date Resigned,Department,Salary,Performance level
1,Cynthia, gomez,48,Woman,08 May 2010,2021-12-15,2024-05-21,Operation,184016,1
2,Ryan,Blair,,Man,1908-07-02,2024-07-14,2028-06-26,Sales,101159,Exceeds
3,John,Russo,69,F,12 Sep 2021,2023-11-02,2027-06-29,Marketing,52625,Outstanding
4,Donald,Salinas,52,Girl,2016-12-12,2023-10-30,2026-10-20,Sales,90758,Meets
5,James,Lee,70,Woman,08 Aug 2011,2022-12-21,2025-08-21,IT,193481,3
6,Anna,Frost,56,Woman,,2022-01-13,2024-05-14,Marketing,132763,3
7,Theresa, morgan,46,Boy,1967-02-19,2024-02-18,2024-12-11,Sale,3449,Exceeds
8,Shawn,Johnston,41,Woman,25 Sep 1995,2021-12-07,2023-02-14,Operations,81011,2
9,Connie,Smith,36,Decline to comment,29 Dec 1959,2022-11-08,2025-02-22,IT,8662,2
10,Ashley,Smith,53,Woman,1991-11-20,2021-02-09,2021-10-05,Operations,69801,Meets
11,Alexis,hall ,18,M,09 Apr 1955,2023-08-03,2024-01-16,Finance,87570,1
12, Shannon,Meyer,46,Woman,1951-10-06,2020-09-03,2024-05-20,Sales,34677,Below
13,Amber,Wood,30,F,,2024-06-11,2027-07-31,Engineering,97891,2
14,Cheyenne,taylor ,49,Boy,1999-01-25,2022-10-20,2023-07-29,Customer Service,45799,1
15,Jordan,Kramer,53,Decline to comment,14 Jun 1958,2021-03-07,2023-10-21,Sales,95163,Meets
16, Connie,Giles,45,Woman,06 Feb 1948,2022-12-26,2026-09-12,Operations,102793,1
17,rachel ,Davies,20,Boy,1993-06-08,2024-10-15,2025-01-01,IT,51187,Needs Improvement
18,Jacob Terri,,49,Boy,,2020-05-14,2023-11-02,Finance,159160,4
19,Michael,Garcia,28,Boy,,2023-02-03,2024-08-13,Finance,153802,Meets
20,Jamie,Sims,65,Boy,1939-01-27,2022-02-03,2022-07-12,Marketing,79379,Meets
21,michael ,king ,32,Boy,1960-05-17,2023-07-25,2027-03-13,IT,103370,1
22,Lauren,Sheppard,23,Man,1922-10-16,2020-08-19,2023-06-11,IT,103820,3
23,Brooke,Foster,40,Man,2009-11-16,2021-03-30,2024-06-01,Customer Service,95097,2
24,Stephen,Oliver,62,Male,1955-02-06,2020-05-14,2022-01-13,Engineering,34105,Exceeds
25,karina ,kim ,44,Female,12 Jun 1994,2022-10-12,2025-05-18,IT,35069,3
26,Stephanie,Martinez,24,Woman,1992-08-04,2022-02-13,2024-07-27,Marketing,141568,2
27,Julie, henderson,69,Boy,1943-08-28,2020-04-30,2021-04-27,IT,194702,Exceeds
28,Matthew,Jones,65,Boy,1966-05-06,2023-01-16,2026-09-23,Customer Service,153935,4
29,katie ,jones ,,Girl,1931-01-03,2023-08-08,2026-01-22,Finance,153950,4
30,,King Smith,22,Girl,1926-09-18,2020-11-19,2024-10-10,Engineering,54866,Exceeds
31,Joshua, taylor,,Boy,29 Nov 2004,2020-08-21,2023-02-22,Operations,146611,2
32,Leah Timothy,,58,F,1975-07-27,2023-05-16,2026-08-12,Operations,144333,3
33,ashley ,Brock,22,Man,1936-12-04,2020-09-23,2022-08-13,Engineering,62101,4
34,Michael,Lopez,41,Boy,24 Aug 1923,2024-04-24,2026-07-23,Marketing,166910,Outstanding
35,edward ,Dunn,63,Male,1949-04-28,2024-02-16,2025-12-15,Operations,112906,Outstanding
36,Jodi,Lamb,57,F,1959-12-27,2023-01-20,2026-07-14,Customer Service,78523,Meets
37,Robert, mcdonald,22,Male,1998-08-09,2023-10-26,2024-02-03,Finance,10296,Below
38,Jeffrey,Kim,45,Girl,1945-07-31,2022-01-10,2024-03-13,Engineering,129361,Exceeds
39,Stephanie,Francis,,Decline to comment,24 Feb 1976,2022-09-17,2025-01-16,Finance,177965,4
40,Alexis, parker,57,Female,1967-07-22,2021-04-23,2025-04-17,Marketing,127234,3
41,,Wells Ross,52,Man,,2023-08-25,2025-01-14,Operations,194386,Meets
42, Michele,Mills,30,M,1937-07-28,2021-10-31,2024-05-28,Finance,189561,Outstanding
43,Anna,Smith,32,Girl,1979-02-09,2021-11-23,2024-04-22,IT,96436,Meets
44,Curtis,bell ,20,M,1939-08-20,2020-02-09,2023-01-14,Sales,191826,Below
45,Jeffrey,Mccoy,42,Woman,09 Oct 1940,2024-05-15,2026-03-01,Customer Service,121092,4
46,Courtney,Johnston,58,Woman,1924-02-09,2020-09-27,2022-06-04,Finance,4117,Needs Improvement
47,Sara,Mendez,,Woman,10 Nov 1974,2023-10-22,2027-07-02,H,7780,Outstanding
48,mercedes ,Henry,46,F,01 Jun 1967,2021-08-18,2022-05-09,Marketing,183038,3
49,Diane,Chandler,,Decline to comment,2002-02-18,2021-07-19,2024-12-03,Customer Service,50006,Outstanding
50,Megan,Peters,24,Man,1973-10-05,2021-05-02,2025-05-01,Operations,199538,Exceeds
51, Cory,tucker ,55,Male,30 May 1952,2021-11-25,2024-06-07,HR,88393,Outstanding
52,Brian,Olson,18,Woman,13 Apr 1916,2020-05-15,2022-03-15,Sales,96461,1
53,Jackie,Peterson,40,Decline to comment,26 Apr 2023,2024-05-08,2027-12-24,HR,103223,Outstanding
54,David,Fitzpatrick,65,N/A,,2021-08-11,2025-04-19,Marketing,182878,1
55,Brandon,Macdonald,,Male,1935-10-31,2023-06-19,2026-01-07,Operations,176106,2
56,Joseph,Thompson,47,Female,2015-06-14,2023-08-02,2025-11-27,Sales,149314,Outstanding
57,Victoria Matthew,,39,Woman,1948-06-03,2020-06-22,2024-04-17,Operations,51645,3
58,james ,Martinez,41,M,,2023-08-29,2027-04-21,Finance,128529,Below
59,Andrew,Gonzalez,25,F,1962-08-23,2023-03-30,2024-03-04,Marketing,43072,Meets
60,Leon,horton ,22,N/A,05 Nov 2015,2020-07-17,2022-05-11,IT,100105,3
61,Jesus,Wood,36,Boy,1989-02-28,2021-06-01,2022-11-03,IT,86347,Exceeds
62,wendy ,Ramirez,21,Boy,1931-04-18,2020-11-15,2022-02-12,Sales,15392,4
63,Nicholas,Tucker,25,Female,15 Mar 1982,2023-08-05,2023-10-11,HR,158867,5
64,Wayne,carter ,50,Decline to comment,1918-11-10,2023-05-17,2027-03-25,Sales,11208,5
65,Allen,lowe ,24,Girl,1913-02-15,2022-10-05,2025-12-23,Sales,154959,Meets
66,Susan,Yates,44,Boy,1999-08-07,2022-09-28,2025-01-31,Customer Service,185711,Outstanding
67,Laura,Anderson,59,Woman,26 Jan 1921,2024-12-30,2027-03-02,Customer Service,153211,Needs Improvement
68, Lauren,Morse,70,Girl,1999-10-08,2021-03-04,2024-03-02,IT,76549,Needs Improvement
69, Jennifer,Monroe,62,Woman,1956-01-18,2022-05-26,2023-04-28,HR,142506,1
70,,Smith Wall,58,F,,2022-09-18,2022-11-24,HR,45759,Needs Improvement
71,Scott, dixon,32,Boy,27 Jan 1973,2022-03-29,2025-12-22,Marketing,163754,Below
72, Jacob,Smith,60,N/A,1950-06-12,2020-02-29,2022-07-26,I,113284,3
73,holly ,Dillon,33,M,1975-04-23,2021-06-05,2024-08-05,Customer Service,76383,1
74,Nicole,Fields,31,Boy,2006-05-18,2024-05-21,2028-04-11,Operations,168383,Outstanding
75,,Walker Moore,60,F,1986-11-19,2024-12-25,2028-10-10,Operations,85231,Meets
76,emily ,rogers ,26,N/A,1993-01-29,2022-06-29,2024-01-10,Finance,158291,Meets
77,Omar,Hill,36,N/A,19 Jul 1953,2022-08-14,2026-05-01,HR,93720,4
78,Chloe,Campbell,23,Man,24 Jan 1946,2022-05-20,2023-01-10,Engineering,97394,Outstanding
79,Brian,Flores,68,Girl,,2022-12-28,2024-01-02,Marketing,15598,Needs Improvement
80,Sarah,Myers,58,N/A,2015-05-05,2022-07-21,2023-08-08,Customer Service,107390,Needs Improvement
81,William,Faulkner,,Girl,1973-03-09,2020-07-22,2021-02-25,Operations,196950,Exceeds
82,Glenn,Farrell,55,Female,1986-05-03,2024-09-30,2026-02-25,IT,70469,1
83,Amy,Bailey,62,Woman,13 Mar 1919,2022-10-07,2023-02-15,IT,117694,Below
84,Brenda,owen ,,F,1946-02-27,2022-03-02,2022-12-09,Operations,93996,1
85, Paige,bradford ,54,Man,01 Nov 2012,2024-10-22,2028-09-15,HR,42235,2
86,kirk ,Duncan,,Girl,1947-06-16,2020-04-14,2022-09-02,Marketing,96580,1
87,Jordan,Mejia,42,Woman,1912-07-07,2021-09-01,2025-04-01,Sales,57559,Meets
88,Jonathan,Patel,69,Decline to comment,,2024-03-23,2024-10-20,IT,188021,Exceeds
89,beverly ,Hall,19,Decline to comment,18 Aug 1974,2024-08-23,2025-03-15,IT,125303,Needs Improvement
90,Joel,Martin,64,Male,,2024-12-04,2026-12-08,HR,189355,1
91,Vincent,Buckley,55,F,2000-06-26,2020-06-06,2023-11-08,HR,33454,Meets
92,,Harris Ray,34,Female,2016-12-02,2023-02-16,2024-05-19,Finance,134956,4
93,Patricia,Hansen,60,Man,24 Aug 1954,2024-09-08,2026-06-21,Engineering,146587,Outstanding
94,daniel ,Miller,46,M,1928-05-27,2021-05-01,2024-09-19,Sales,85489,1
95,Brenda,Carroll,37,M,1975-04-11,2023-05-19,2026-02-21,marketinging,133977,3
96,Katie,Luna,60,Decline to comment,09 Jun 1985,2022-02-28,2024-01-23,H,59966,Outstanding
97,Joshua,Powell,,F,30 Mar 1921,2022-07-20,2023-11-21,Engineering,164157,Outstanding
98,Priscilla,Simmons,,Decline to comment,1972-07-04,2024-04-17,2026-08-23,HR,100023,Exceeds
99,Elizabeth, peters,32,N/A,29 Dec 1928,2020-02-09,2023-07-10,Sale,78168,5
100,Courtney Robert,,36,F,29 Jan 2001,2020-05-19,2020-07-22,Engineering,173198,3
101,Tyler,eaton ,62,N/A,18 Apr 2015,2021-02-19,2024-06-08,Marketing,193607,Meets
102,Edward,Lee,37,Woman,19 Dec 1942,2020-03-06,2024-02-01,I,159161,5
103, David,Rodriguez,63,Woman,2024-01-20,2022-12-06,2023-02-26,Operation,173347,5
104,Joshua,Hughes,32,Female,,2022-12-03,2025-07-02,Engineering,83868,1
105,Samantha Austin,,35,F,23 Nov 1941,2023-08-26,2025-10-25,Sales,34503,5
106,Robert,Jones,,Male,1908-11-15,2024-10-01,2025-06-03,Finance,32505,Below
107, Andrew,Brewer,19,F,1948-02-24,2023-08-28,2024-08-30,Sales,145604,1
108,Eric,Ramos,48,Boy,2001-04-22,2023-06-01,2024-03-23,HR,13391,Outstanding
109,Alexandra,Everett,68,F,12 Sep 1996,2023-12-28,2026-09-25,HR,119092,1
110, Alisha,Meyer,67,M,,2023-02-05,2024-04-25,Customer Service,136737,Needs Improvement
111,Jessica William,,35,Decline to comment,,2021-05-30,2024-01-07,HR,132756,Below
112,Derek,Phillips,65,Man,16 Sep 1945,2023-12-31,2024-04-12,I,82343,Meets
113,William,Greene,22,Man,1946-12-15,2023-05-31,2025-06-27,HR,172333,2
114,Crystal,Garner,45,Girl,07 Aug 2003,2024-10-21,2028-03-18,Engineering,142775,Needs Improvement
115,Benjamin,Hull,55,Girl,1915-08-22,2024-05-03,2028-01-10,Engineering,50342,Below
116,Matthew,Mclaughlin,,F,17 Sep 2002,2022-05-13,2023-10-05,engineeringing,15391,3
117,Kimberly,George,,Female,,2020-07-02,2023-08-30,Marketing,4115,Exceeds
118,Jenna,Goodman,24,Boy,1922-10-21,2021-05-23,2023-04-15,Engineering,139673,Exceeds
119,,Cooke Navarro,65,Man,04 Nov 1934,2020-09-03,2023-12-01,Engineering,191211,Below
120,Julie,Garcia,66,Man,03 Jun 1909,2024-08-17,2028-06-16,Engineering,30497,Outstanding
121,angela ,Franklin,63,Girl,03 Jan 1932,2020-10-23,2020-12-12,HR,55162,Meets
122,Dennis,Bates,39,M,1984-01-26,2020-12-26,2022-08-16,Customer Service,55530,Meets
123,Cheryl,snyder ,37,Decline to comment,,2022-07-27,2023-01-14,H,106163,Meets
124,John,Le,25,Decline to comment,1958-03-21,2022-12-08,2024-03-27,Customer Service,134082,5
125,Lori,Payne,43,Decline to comment,1947-01-19,2024-11-19,2026-04-10,Customer Service,181284,3
126,Robert,Hill,39,Decline to comment,21 Oct 2018,2023-04-04,2023-10-01,Engineering,35391,Needs Improvement
127, Joseph,Gray,44,Decline to comment,13 Jan 1939,2022-08-11,2024-10-14,HR,15797,Needs Improvement
128,Christopher,rodriguez ,57,Woman,01 Jan 1963,2022-08-16,2025-08-02,Sales,146998,4
129,jonathan ,Marsh,25,Decline to comment,1939-09-02,2024-06-06,2024-08-25,Customer Service,110640,2
130,Cory,Parker,,Boy,1952-10-16,2020-08-14,2024-01-22,Sales,5294,Below
131,Lauren,Smith,43,Male,20 Oct 2022,2022-12-08,2024-07-24,IT,101301,Outstanding
132,Anthony, harris,31,Female,1922-12-18,2022-01-25,2025-09-29,Sales,4859,Outstanding
133,veronica ,Hernandez,64,Male,1986-07-01,2024-10-03,2025-01-18,Customer Servic,145949,Below
134,thomas ,Woods,42,Man,31 Mar 1948,2023-11-26,2027-06-19,Sales,168216,Meets
135,jermaine ,Armstrong,22,Male,05 Dec 1910,2024-11-26,2028-06-02,Sales,118315,Outstanding
136,Clifford, salas,59,Man,03 Apr 1974,2024-03-20,2024-11-29,Marketing,56726,Needs Improvement
137, Heather,Simpson,,M,,2023-09-06,2025-12-01,IT,163734,Below
138,Tyler,Torres,,Man,1925-04-05,2024-11-30,2027-10-10,Engineering,135671,2
139,Kyle,Schwartz,43,F,1914-06-23,2020-03-09,2021-08-25,HR,96679,Meets
140,Jamie,Lopez,62,Decline to comment,29 Jan 1993,2022-11-04,2024-01-06,Customer Service,161070,Below
141,Jennifer,Thomas,59,Decline to comment,,2023-09-26,2024-08-19,Customer Service,140378,Exceeds
142,Madison,bowman ,27,N/A,,2021-12-29,2022-04-30,Engineering,171091,Exceeds
143,Cameron,Lang,69,Female,16 Mar 1956,2022-07-03,2025-10-20,Engineering,122905,2
144,Samuel,Lawson,,Male,25 Nov 1928,2021-09-14,2023-12-21,IT,33945,Below
145,Pamela,Cox,35,Female,19 Jul 2021,2020-12-22,2021-06-22,Customer Service,141088,Meets
146,,Burke Harris,54,M,11 Jun 1968,2023-10-03,2027-09-14,IT,50968,2
147,Lynn Juan,,63,Man,2001-05-23,2020-07-13,2022-08-11,Sales,120451,3
148,Laura,Ray,24,Decline to comment,19 Dec 1936,2023-03-26,2025-06-10,HR,146611,4
149,Bonnie,Cox,,N/A,1911-11-28,2022-04-13,2025-08-25,Finance,59497,Outstanding
